Category,Orders,Units Sold,Product Revenue (BRL),Freight Cost (BRL),Avg Unit Price,Avg Freight per Item,Freight % of Revenue,Revenue Rank
health_beauty,8647,9465,1233131.72,178957.81,130.28,18.91,14.51,1
watches_gifts,5495,5859,1166176.98,98156.14,199.04,16.75,8.42,2
bed_bath_table,9272,10953,1023434.76,201774.5,93.44,18.42,19.72,3
sports_leisure,7530,8431,954852.55,163404.36,113.25,19.38,17.11,4
computers_accessories,6530,7644,888724.61,143999.16,116.26,18.84,16.2,5
furniture_decor,6307,8160,711927.69,168402.23,87.25,20.64,23.65,6
housewares,5743,6795,615628.69,142763.56,90.6,21.01,23.19,7
cool_stuff,3559,3718,610204.1,81476.79,164.12,21.91,13.35,8
auto,3810,4140,578966.65,90488.1,139.85,21.86,15.63,9
toys,3804,4030,471286.48,75774.58,116.94,18.8,16.08,10
garden_tools,3448,4268,470495.28,96650.4,110.24,22.65,20.54,11
baby,2809,2982,400421.84,66305.81,134.28,22.24,16.56,12
perfumery,3086,3340,390144.65,53026.98,116.81,15.88,13.59,13
telephony,4093,4430,309860.23,69342.39,69.95,15.65,22.38,14
office_furniture,1254,1668,268154.31,67057.05,160.76,40.2,25.01,15
stationery,2264,2466,223788.69,45786.36,90.75,18.57,20.46,16
computers,177,199,218684.14,9665.62,1098.92,48.57,4.42,17
pet_shop,1688,1924,211695.64,38918.56,110.03,20.23,18.38,18
musical_instruments,611,651,184315.74,17871.38,283.13,27.45,9.7,19
small_appliances,609,658,182754.12,15354.35,277.74,23.33,8.4,20
uncategorized,1412,1559,175967.21,27386.63,112.87,17.57,15.56,21
electronics,2517,2729,155043.93,45679.16,56.81,16.74,29.46,22
fashion_bags_accessories,1820,1985,149329.39,30558.9,75.23,15.39,20.46,23
consoles_games,1018,1089,148003.37,19094.36,135.91,17.53,12.9,24
construction_tools_construction,736,916,142108.49,20273.52,155.14,22.13,14.27,25
luggage_accessories,1019,1077,138701.63,30076.49,128.79,27.93,21.68,26
home_appliances_2,227,231,107953.95,10254.57,467.33,44.39,9.5,27
home_construction,483,596,81407.57,13614.8,136.59,22.84,16.72,28
home_appliances,747,754,78832.48,14469.3,104.55,19.19,18.35,29
agro_industry_and_commerce,177,206,70566.1,5637.2,342.55,27.37,7.99,30
furniture_living_room,414,495,67350.7,17694.37,136.06,35.75,26.27,31
home_confort,392,429,58008.45,8429.77,135.22,19.65,14.53,32
fixed_telephony,212,255,55315.21,4501.33,216.92,17.65,8.14,33
air_conditioning,246,289,53323.56,6530.99,184.51,22.6,12.25,34
audio,348,362,50570.6,5684.72,139.7,15.7,11.24,35
small_appliances_home_oven_and_coffee,72,73,46589.56,2656.34,638.21,36.39,5.7,36
kitchen_dining_laundry_garden_furniture,241,274,45531.98,11540.99,166.18,42.12,25.35,37
books_general_interest,496,537,45302.15,8880.39,84.36,16.54,19.6,38
construction_tools_lights,242,301,39957.0,7490.14,132.75,24.88,18.75,39
construction_tools_safety,159,183,38773.22,3730.8,211.88,20.39,9.62,40
industry_commerce_and_business,232,265,38498.81,7580.53,145.28,28.61,19.69,41
food,441,499,28731.15,7063.53,57.58,14.16,24.58,42
market_place,274,305,27795.77,5318.61,91.13,17.44,19.13,43
costruction_tools_garden,190,232,25096.28,5187.66,108.17,22.36,20.67,44
art,195,197,23657.3,3828.23,120.09,19.43,16.18,45
fashion_shoes,235,257,23001.46,4813.37,89.5,18.73,20.93,46
drinks,287,361,21529.84,5441.27,59.64,15.07,25.27,47
signaling_and_security,138,197,21315.05,6477.54,108.2,32.88,30.39,48
furniture_bedroom,90,103,19051.8,4327.42,184.97,42.01,22.71,49
books_technical,256,263,18702.23,4198.84,71.11,15.97,22.45,50
costruction_tools_tools,97,103,15903.95,2030.22,154.41,19.71,12.77,51
food_drink,221,269,14942.88,4394.89,55.55,16.34,29.41,52
fashion_male_clothing,106,125,10452.33,2062.62,83.62,16.5,19.73,53
fashion_underwear_beach,117,127,9305.95,1854.07,73.28,14.6,19.92,54
christmas_supplies,125,150,8737.84,3190.91,58.25,21.27,36.52,55
tablets_printing_image,79,83,7528.41,1226.2,90.7,14.77,16.29,56
cine_photo,63,70,6674.47,1227.71,95.35,17.54,18.39,57
music,38,38,6034.35,690.51,158.8,18.17,11.44,58
dvds_blu_ray,56,61,4542.59,1227.25,74.47,20.12,27.02,59
party_supplies,38,42,4465.19,820.19,106.31,19.53,18.37,60
books_imported,50,57,4418.86,732.08,77.52,12.84,16.57,61
furniture_mattress_and_upholstery,37,37,4323.38,1581.37,116.85,42.74,36.58,62
fashio_female_clothing,36,45,2634.94,583.5,58.55,12.97,22.14,63
fashion_sport,26,29,2094.52,563.03,72.22,19.41,26.88,64
la_cuisine,13,14,2054.99,333.55,146.78,23.82,16.23,65
arts_and_craftmanship,23,24,1814.01,370.13,75.58,15.42,20.4,66
diapers_and_hygiene,25,37,1500.79,545.4,40.56,14.74,36.34,67
flowers,29,33,1110.04,488.87,33.64,14.81,44.04,68
home_comfort_2,24,30,760.27,410.31,25.34,13.68,53.97,69
cds_dvds_musicals,12,14,730.0,224.99,52.14,16.07,30.82,70
fashion_childrens_clothes,7,7,519.95,78.72,74.28,11.25,15.14,71
security_and_services,2,2,283.29,41.22,141.64,20.61,14.55,72
