Year,Month Number,Year-Month,Orders,Revenue (BRL),Avg Order Value,Unique Customers,MoM Change (BRL),MoM Growth %,Cumulative Revenue,Month Name
2017,1,2017-01,750,127545.67,170.06,750,,,127545.67,January
2017,2,2017-02,1653,271298.65,164.13,1653,143752.98,112.71,398844.32,February
2017,3,2017-03,2546,414369.39,162.75,2546,143070.74,52.74,813213.71,March
2017,4,2017-04,2303,390952.18,169.76,2303,-23417.21,-5.65,1204165.89,April
2017,5,2017-05,3546,567066.73,159.92,3546,176114.55,45.05,1771232.62,May
2017,6,2017-06,3135,490225.6,156.37,3135,-76841.13,-13.55,2261458.22,June
2017,7,2017-07,3872,566403.93,146.28,3872,76178.33,15.54,2827862.15,July
2017,8,2017-08,4193,646000.61,154.07,4193,79596.68,14.05,3473862.76,August
2017,9,2017-09,4150,701169.99,168.96,4150,55169.38,8.54,4175032.75,September
2017,10,2017-10,4478,751140.27,167.74,4478,49970.28,7.13,4926173.02,October
2017,11,2017-11,7289,1153528.05,158.26,7289,402387.78,53.57,6079701.07,November
2017,12,2017-12,5513,843199.17,152.95,5513,-310328.88,-26.9,6922900.24,December
2018,1,2018-01,7069,1078606.86,152.58,7069,235407.69,27.92,8001507.1,January
2018,2,2018-02,6555,966510.88,147.45,6555,-112095.98,-10.39,8968017.98,February
2018,3,2018-03,7003,1120678.0,160.03,7003,154167.12,15.95,10088695.98,March
2018,4,2018-04,6798,1132933.95,166.66,6798,12255.95,1.09,11221629.93,April
2018,5,2018-05,6749,1128836.69,167.26,6749,-4097.26,-0.36,12350466.62,May
2018,6,2018-06,6099,1012090.68,165.94,6099,-116746.01,-10.34,13362557.3,June
2018,7,2018-07,6159,1027903.86,166.89,6159,15813.18,1.56,14390461.16,July
2018,8,2018-08,6351,985414.28,155.16,6351,-42489.58,-4.13,15375875.44,August
