State,Orders,Unique Customers,Revenue (BRL),Avg Order Value,Avg Delivery Days,On-Time Rate (0-1),Avg Review Score,On-Time %,State Name,Country
AC,80,76,19586.25,244.83,20.64,0.96,4.09,96.25,Acre,Brazil
AL,397,387,94195.79,237.27,24.04,0.76,3.84,76.07,Alagoas,Brazil
AM,145,140,27596.18,190.32,25.99,0.96,4.22,95.86,Amazonas,Brazil
AP,67,66,16141.81,240.92,26.73,0.96,4.24,95.52,Amapá,Brazil
BA,3256,3158,591270.6,181.59,18.87,0.86,3.93,85.96,Bahia,Brazil
CE,1279,1258,266463.97,208.34,20.82,0.85,3.94,84.68,Ceará,Brazil
DF,2080,2019,346146.17,166.42,12.51,0.93,4.13,92.93,Distrito Federal,Brazil
ES,1995,1928,317682.65,159.24,15.33,0.88,4.08,87.77,Espírito Santo,Brazil
GO,1957,1895,334294.22,170.82,15.15,0.92,4.1,91.82,Goiás,Brazil
MA,717,700,147807.29,206.15,21.12,0.8,3.84,80.33,Maranhão,Brazil
MG,11354,11001,1819277.61,160.23,11.54,0.94,4.19,94.39,Minas Gerais,Brazil
MS,701,681,134421.54,191.76,15.19,0.88,4.17,88.45,Mato Grosso do Sul,Brazil
MT,886,856,181441.72,204.79,17.59,0.93,4.15,93.23,Mato Grosso,Brazil
PA,946,922,212027.55,224.13,23.32,0.88,3.91,87.63,Pará,Brazil
PB,517,504,137834.65,266.6,19.95,0.89,4.08,88.97,Paraíba,Brazil
PE,1593,1551,309074.59,194.02,17.97,0.89,4.09,89.2,Pernambuco,Brazil
PI,476,464,105272.17,221.16,18.99,0.84,4.0,84.03,Piauí,Brazil
PR,4923,4769,781919.55,158.83,11.53,0.95,4.24,95.0,Paraná,Brazil
RJ,12350,11917,2055690.45,166.45,14.85,0.87,3.96,86.53,Rio de Janeiro,Brazil
RN,474,464,100728.3,212.51,18.82,0.89,4.15,89.24,Rio Grande do Norte,Brazil
RO,243,231,56975.7,234.47,18.91,0.97,4.17,97.12,Rondônia,Brazil
RR,41,40,9039.52,220.48,28.98,0.88,3.9,87.8,Roraima,Brazil
RS,5344,5167,861608.4,161.23,14.82,0.93,4.19,92.85,Rio Grande do Sul,Brazil
SC,3546,3449,595208.4,167.85,14.48,0.9,4.13,90.24,Santa Catarina,Brazil
SE,335,329,70289.13,209.82,21.03,0.85,3.91,84.78,Sergipe,Brazil
SP,40494,39149,5769081.27,142.47,8.3,0.94,4.25,94.11,São Paulo,Brazil
TO,274,267,60007.37,219.0,17.23,0.87,4.15,87.23,Tocantins,Brazil
